Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches,,,,,,,,,,,,,
Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,,,,,,,,,,,,,,
Fungal infection,itching, nodal skin eruptions, dischromic  patches,,,,,,,,,,,,,,
Fungal infection,itching, skin rash, dischromic  patches,,,,,,,,,,,,,,
Fungal infection,itching, skin rash, nodal skin eruptions,,,,,,,,,,,,,,
Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,,,,,,,,,,,,,,
Fungal infection,itching, nodal skin eruptions, dischromic  patches,,,,,,,,,,,,,,
Fungal infection,itching, skin rash, dischromic  patches,,,,,,,,,,,,,,
Fungal infection,itching, skin rash, nodal skin eruptions,,,,,,,,,,,,,,
Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches,,,,,,,,,,,,,
Allergy, continuous sneezing, shivering, chills, watering from eyes,,,,,,,,,,,,,
Allergy, shivering, chills, watering from eyes,,,,,,,,,,,,,,
Allergy, continuous sneezing, chills, watering from eyes,,,,,,,,,,,,,,
Allergy, continuous sneezing, shivering, watering from eyes,,,,,,,,,,,,,,
Allergy, continuous sneezing, shivering, chills,,,,,,,,,,,,,,
Allergy, shivering, chills, watering from eyes,,,,,,,,,,,,,,
Allergy, continuous sneezing, chills, watering from eyes,,,,,,,,,,,,,,
Allergy, continuous sneezing, shivering, watering from eyes,,,,,,,,,,,,,,
Allergy, continuous sneezing, shivering, chills,,,,,,,,,,,,,,
Allergy, continuous sneezing, shivering, chills, watering from eyes,,,,,,,,,,,,,
GERD, stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain,,,,,,,,,,,
GERD, stomach pain, ulcers on tongue, vomiting, cough, chest pain,,,,,,,,,,,,
GERD, stomach pain, acidity, vomiting, cough, chest pain,,,,,,,,,,,,
GERD, stomach pain, acidity, ulcers on tongue, cough, chest pain,,,,,,,,,,,,
GERD, stomach pain, acidity, ulcers on tongue, vomiting, chest pain,,,,,,,,,,,,
GERD, stomach pain, acidity, ulcers on tongue, vomiting, cough,,,,,,,,,,,,
GERD, acidity, ulcers on tongue, vomiting, cough, chest pain,,,,,,,,,,,,
GERD, stomach pain, ulcers on tongue, vomiting, cough, chest pain,,,,,,,,,,,,
GERD, stomach pain, acidity, vomiting, cough, chest pain,,,,,,,,,,,,
